time_sec,x,y,yaw
293.960,0.0187,-0.0097,1.0390
294.300,0.0471,0.0326,0.9200
294.640,0.0804,0.0713,0.8010
294.980,0.1180,0.1057,0.6820
295.320,0.1594,0.1354,0.5630
295.660,0.2040,0.1600,0.4440
296.000,0.2513,0.1791,0.3250
296.340,0.3005,0.1925,0.2060
296.680,0.3509,0.2000,0.0870
297.020,0.4018,0.2014,-0.0320
297.360,0.4526,0.1967,-0.1510
297.700,0.5024,0.1860,-0.2700
298.040,0.5507,0.1695,-0.3890
298.380,0.5966,0.1474,-0.5080
298.720,0.6396,0.1200,-0.6270
299.060,0.6790,0.0877,-0.7460
299.400,0.7143,0.0510,-0.8650
299.740,0.7450,0.0103,-0.9840
300.080,0.7706,-0.0338,-1.1030
300.420,0.7909,-0.0805,-1.2220
301.980,0.8122,-0.1273,-0.5221
302.320,0.8547,-0.1553,-0.6411
302.660,0.8937,-0.1881,-0.7601
303.000,0.9285,-0.2254,-0.8791
303.340,0.9586,-0.2665,-0.9981
303.680,0.9836,-0.3109,-1.1171
304.020,1.0032,-0.3580,-1.2361
306.080,1.0493,-0.3778,-0.1842
306.420,1.0987,-0.3901,-0.3032
306.760,1.1477,-0.4090,-0.4114
307.060,1.1941,-0.4287,-0.3697
307.400,1.2430,-0.4441,-0.2358
307.720,1.2932,-0.4544,-0.2140
308.120,1.3415,-0.4712,-0.4930
308.500,1.3826,-0.5013,-0.7099
308.840,1.4192,-0.5367,-0.8289
309.180,1.4514,-0.5763,-0.9479
309.520,1.4786,-0.6194,-1.0669
309.860,1.5000,-0.6662,-1.1966
310.160,1.5175,-0.7141,-1.2365
310.460,1.5334,-0.7623,-1.2796
310.840,1.5426,-0.8137,-1.4951
311.160,1.5439,-0.8649,-1.5797
311.460,1.5424,-0.9160,-1.6189
311.760,1.5392,-0.9680,-1.6441
312.060,1.5347,-1.0196,-1.6739
312.400,1.5268,-1.0714,-1.7919
312.740,1.5120,-1.1210,-1.9184
313.060,1.4924,-1.1682,-2.0064
313.380,1.4687,-1.2142,-2.0846
313.700,1.4414,-1.2586,-2.1593
314.020,1.4110,-1.3006,-2.2358
